"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene11796",-1.26208026208025,5.55140186915888,-8.39227770277301,5.88613560196181e-15,7.08396419696104e-11,23.2572927414745
"gene7364",-0.982596232596179,7.47196261682243,-7.59821499404602,8.62918592780449e-13,5.19261263205635e-09,18.5159958403608
"gene11454",-1.32043407043404,6.23831775700935,-7.36854250397147,3.47293546773272e-12,1.30154905857391e-08,17.1935397457442
"gene11689",-1.07698607698609,4.96728971962617,-7.33194994995282,4.32587971275083e-12,1.30154905857391e-08,16.985027616906
"gene11227",-1.20352170352169,5.92523364485981,-7.2630155585815,6.53145623234678e-12,1.57212151512587e-08,16.5938972640798
"gene3259",-2.36957411957406,9.46728971962617,-6.9626315631561,3.82946994812273e-11,5.76095885320714e-08,14.9157596121071
"gene3261",-2.36957411957406,9.46728971962617,-6.9626315631561,3.82946994812273e-11,5.76095885320714e-08,14.9157596121071
"gene3262",-2.36957411957406,9.46728971962617,-6.9626315631561,3.82946994812273e-11,5.76095885320714e-08,14.9157596121071
"gene11360",-1.06511056511055,5.99065420560748,-6.93149381544833,4.58835470667597e-11,6.13564987720503e-08,14.7443111254914
"gene4734",-0.851556101556003,7.85046728971963,-6.85984375543861,6.94263525542828e-11,8.35546152990794e-08,14.3516331645158
"gene10867",-0.713349713349662,5.35514018691589,-6.80779744087014,9.36409521761501e-11,1.02451714494542e-07,14.0680151254287
"gene935",-1.69983619983615,9.17289719626168,-6.79200733747639,1.02510534131138e-10,1.02809523189021e-07,13.9822417302131
"gene11372",-1.0380835380835,6.00934579439252,-6.71882141203965,1.55668093556378e-10,1.44112731227001e-07,13.5863585607643
"gene11629",-1.2698607698608,6.24299065420561,-6.65963818032964,2.17784469886505e-10,1.87216863934578e-07,13.268247887971
"gene11189",-1.17199017199015,6.7803738317757,-6.57380463472665,3.53254325135078e-10,2.83427720200044e-07,12.810158028595
"gene9760",-0.818591318591313,6.13084112149533,-6.55961896339614,3.82506883711338e-10,2.87716896591622e-07,12.7348257727602
"gene9761",-0.571253071253082,5.51401869158879,-6.44340397365437,7.31003243621488e-10,4.88833827903939e-07,12.121742447878
"gene9409",-1.47113022113013,6.52803738317757,-6.43736582617693,7.55868395927036e-10,4.88833827903939e-07,12.0900885743511
"gene8224",-0.822686322686313,5.91588785046729,-6.43256461434275,7.76230985140176e-10,4.88833827903939e-07,12.0649333100346
"gene8305",-0.92403767403771,7.84579439252336,-6.42434398518265,8.12353681601893e-10,4.88833827903939e-07,12.0218917436963
"gene7265",-0.790745290745254,5.89252336448598,-6.41439127216202,8.58301530436787e-10,4.91888519943177e-07,11.9698308193675
"gene7182",-1.98505323505321,7.55140186915888,-6.28219872344618,1.77314378021378e-09,9.69990245221492e-07,11.2835417759777
"gene7719",-1.02702702702693,8.28971962616822,-6.22969055532345,2.35897652710359e-09,1.18292843765382e-06,11.0136494413124
"gene7720",-1.02702702702693,8.28971962616822,-6.22969055532345,2.35897652710359e-09,1.18292843765382e-06,11.0136494413124
"gene10626",-0.57330057330058,5.90654205607477,-6.21240737111347,2.59049699236675e-09,1.24173762765397e-06,10.9251546141791
"gene4330",-0.858927108927103,8.16355140186916,-6.20594926627397,2.68260725542195e-09,1.24173762765397e-06,10.8921307962678
"gene1305",1.11711711711708,9.4392523364486,6.17198119313066,3.22253883516927e-09,1.43641684745416e-06,10.7188245492535
"gene10692",-0.831285831285791,6.36448598130841,-6.16206812996515,3.39927283808042e-09,1.46108030736778e-06,10.6683720096078
"gene8768",-0.751228501228518,6.61682242990654,-6.11735927414944,4.32175341523841e-09,1.79352766732394e-06,10.4415273166001
"gene436",-0.631654381654348,10.5934579439252,-6.09402938369389,4.89635194675793e-09,1.96425318930772e-06,10.323613361205
"gene8025",-0.819819819819879,6.76635514018692,-6.0835612705001,5.17789444522075e-09,1.99618204715155e-06,10.2708078895987
"gene9421",-0.714987714987656,5.36915887850467,-6.0754581771802,5.40666077776445e-09,1.99618204715155e-06,10.2299762422506
"gene7785",-0.633292383292376,5.60747663551402,-6.07315278095852,5.47353614923149e-09,1.99618204715155e-06,10.2183662801254
"gene11728",-0.695331695331696,5.70093457943925,-6.03406802126074,6.73869447672998e-09,2.38529964786604e-06,10.022007206558
"gene6640",-0.688370188370138,6.76635514018692,-6.02147846017269,7.20413695150855e-09,2.4405051999901e-06,9.95894834934597
"gene10898",-0.790335790335773,7.01401869158879,-6.01897888277079,7.30022328206429e-09,2.4405051999901e-06,9.94643947480529
"gene9652",-0.875921375921373,6.6214953271028,-5.9701461451148,9.44998825771399e-09,3.07380023463751e-06,9.70279890279038
"gene1219",-0.633087633087596,8.66822429906542,-5.95131845631526,1.04348546538213e-08,3.24096001971504e-06,9.60923855033874
"gene8188",-1.00470925470924,6.91121495327103,-5.95009011996896,1.05024878079673e-08,3.24096001971504e-06,9.60314189092261
"gene7006",-0.572686322686308,6.58878504672897,-5.94261828265361,1.09232295714178e-08,3.27262899197376e-06,9.56607588095428
"gene3143",-0.611384111384011,8.60747663551402,-5.93872479091004,1.11489645758973e-08,3.27262899197376e-06,9.54677434760319
